label,tcc,tt_ccu,x_phi,y_eta,status
EB+09,63,42,172.0,55.0,14.0
EB+09,63,42,173.0,55.0,14.0
EB+09,63,42,174.0,55.0,14.0
EB+09,63,42,175.0,55.0,14.0
EB+03,57,47,46.0,56.0,13.0
EB+03,57,47,47.0,56.0,13.0
EB+03,57,47,48.0,56.0,13.0
EB+03,57,47,49.0,56.0,13.0
EB+03,57,47,50.0,56.0,13.0
EB+03,57,47,46.0,57.0,13.0
EB+03,57,47,47.0,57.0,13.0
EB+03,57,47,48.0,57.0,13.0
EB+03,57,47,49.0,57.0,13.0
EB+03,57,47,50.0,57.0,13.0
EB+09,63,45,176.0,57.0,4.0
EB+03,57,47,46.0,58.0,13.0
EB+03,57,47,47.0,58.0,13.0
EB+03,57,47,48.0,58.0,13.0
EB+03,57,47,49.0,58.0,13.0
EB+03,57,47,50.0,58.0,13.0
EB+17,71,46,332.0,58.0,4.0
EB+03,57,47,46.0,59.0,13.0
EB+03,57,47,47.0,59.0,13.0
EB+03,57,47,48.0,59.0,13.0
EB+03,57,47,49.0,59.0,13.0
EB+03,57,47,50.0,59.0,13.0
EB+08,62,47,149.0,59.0,11.0
EB+03,57,47,46.0,60.0,13.0
EB+03,57,47,47.0,60.0,13.0
EB+03,57,47,48.0,60.0,13.0
EB+03,57,47,49.0,60.0,13.0
EB+03,57,47,50.0,60.0,13.0
EB+03,57,51,48.0,61.0,4.0
EB+10,64,50,191.0,61.0,13.0
EB+10,64,50,192.0,61.0,13.0
EB+10,64,50,193.0,61.0,13.0
EB+10,64,50,194.0,61.0,13.0
EB+10,64,50,195.0,61.0,13.0
EB+10,64,50,191.0,62.0,13.0
EB+10,64,50,192.0,62.0,13.0
EB+10,64,50,193.0,62.0,13.0
EB+10,64,50,194.0,62.0,13.0
EB+10,64,50,195.0,62.0,13.0
EB+10,64,50,191.0,63.0,13.0
EB+10,64,50,192.0,63.0,13.0
EB+10,64,50,193.0,63.0,13.0
EB+10,64,50,194.0,63.0,13.0
EB+10,64,50,195.0,63.0,13.0
EB+15,69,52,281.0,63.0,4.0
EB+10,64,50,191.0,64.0,13.0
EB+10,64,50,192.0,64.0,13.0
EB+10,64,50,193.0,64.0,13.0
EB+10,64,50,194.0,64.0,13.0
EB+10,64,50,195.0,64.0,13.0
EB+10,64,50,191.0,65.0,13.0
EB+10,64,50,192.0,65.0,13.0
EB+10,64,50,193.0,65.0,13.0
EB+10,64,50,194.0,65.0,13.0
EB+10,64,50,195.0,65.0,13.0
